# Total Phase Data Center(tm) v6.52
# (c) 2005-2012 Total Phase, Inc.
# www.totalphase.com
#
#
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
0,,0,0:00.000.000,,,,,,Capture started (Aggregate),[01/30/13 13:54:38]
0,,1,0:00.000.023,,,,,,<Unreset> / <Target connected>,
0,,2,0:04.994.940,269.645 us,0 B,,07,00,Clear Endpoint Feature,Halt Endpoint 01 IN
0,,12,0:04.995.457,300.208 us,0 B,,07,00,Clear Endpoint Feature,Halt Endpoint 02 OUT
0,,21,0:05.001.694,87.166 us,4 B,,07,02,OUT txn,30 50 52 0D
0,,25,0:05.002.694,72.093.333 ms,4 B,,07,01,IN txn   [9 POLL],3C 30 30 3E
0,,30,0:05.081.703,87.166 us,4 B,,07,02,OUT txn,30 50 52 0D
0,,34,0:05.082.703,80.094.145 ms,4 B,,07,01,IN txn   [10 POLL],3C 30 30 3E
0,,39,0:05.169.712,71.104 us,1 B,,07,02,OUT txn,0D
0,,43,0:05.170.712,64.092.479 ms,4 B,,07,01,IN txn   [8 POLL],3C 30 30 3E
0,,48,0:05.241.720,87.083 us,4 B,,07,02,OUT txn,30 50 52 0D
0,,52,0:05.242.720,80.094.229 ms,4 B,,07,01,IN txn   [10 POLL],3C 30 30 3E
0,,57,0:05.329.729,87.145 us,4 B,,07,02,OUT txn,30 50 52 0D
0,,61,0:05.330.729,80.094.208 ms,4 B,,07,01,IN txn   [10 POLL],3C 30 30 3E
0,,66,0:05.417.739,81.750 us,3 B,,07,02,OUT txn,53 56 0D
0,,70,0:05.418.739,64.113.666 ms,8 B,,07,01,IN txn   [8 POLL],58 2D 52 69 74 65 20 44
0,,75,0:05.490.746,106.833 us,8 B,,07,01,IN txn,54 50 39 34 20 76 44 42
0,,79,0:05.498.747,101.562 us,7 B,,07,01,IN txn,30 36 0D 3C 30 30 3E
0,,83,0:05.505.748,103.062 us,7 B,,07,02,OUT txn,30 32 30 37 43 46 0D
0,,87,0:05.506.748,64.092.437 ms,4 B,,07,01,IN txn   [8 POLL],3C 30 30 3E
0,,92,0:05.577.756,103.104 us,7 B,,07,02,OUT txn,30 30 30 38 43 46 0D
0,,96,0:05.578.756,64.092.541 ms,4 B,,07,01,IN txn   [8 POLL],3C 30 30 3E
0,,101,0:05.649.764,103.104 us,7 B,,07,02,OUT txn,30 31 30 41 43 46 0D
0,,105,0:05.650.764,64.092.458 ms,4 B,,07,01,IN txn   [8 POLL],3C 30 30 3E
0,,110,0:05.721.771,103.062 us,7 B,,07,02,OUT txn,30 30 31 39 43 46 0D
0,,114,0:05.722.771,64.092.416 ms,4 B,,07,01,IN txn   [8 POLL],3C 30 30 3E
0,,119,0:05.793.779,87.708 us,4 B,,07,02,OUT txn,45 46 43 0D
0,,123,0:05.794.779,80.094.187 ms,4 B,,07,01,IN txn   [10 POLL],3C 30 30 3E
0,,128,0:05.881.789,103.166 us,7 B,,07,02,OUT txn,30 31 31 37 43 46 0D
0,,132,0:05.882.789,64.092.375 ms,4 B,,07,01,IN txn   [8 POLL],3C 30 30 3E
0,,137,0:05.953.796,103.125 us,7 B,,07,02,OUT txn,30 32 31 36 43 46 0D
0,,141,0:05.954.796,64.092.416 ms,4 B,,07,01,IN txn   [8 POLL],3C 30 30 3E
0,,146,0:08.690.090,81.812 us,3 B,,07,02,OUT txn,52 4D 0D
0,,150,0:08.691.090,776.190.333 ms,8 B,,07,01,IN txn   [97 POLL],58 20 20 20 20 32 31 33
0,,155,0:09.475.175,106.791 us,8 B,,07,01,IN txn,2E 35 38 09 59 20 20 20
0,,159,0:09.483.176,106.833 us,8 B,,07,01,IN txn,20 32 32 32 2E 38 36 09
0,,163,0:09.491.176,106.854 us,8 B,,07,01,IN txn,5A 20 20 20 20 32 33 34
0,,167,0:09.499.177,106.854 us,8 B,,07,01,IN txn,2E 37 38 0D 3C 30 30 3E
0,,171,0:13.202.575,81.770 us,3 B,,07,02,OUT txn,52 4D 0D
0,,175,0:13.203.576,64.291 us,0 B,,07,01,IN txn,
0,,179,0:13.211.576,1.992.251.562 s,,,07,01,[250 IN-NAK],[Periodic Timeout]
0,,180,0:15.211.791,1.760.295.979 s,8 B,,07,01,IN txn   [220 POLL],58 20 20 20 20 20 20 30
0,,185,0:16.979.981,106.875 us,8 B,,07,01,IN txn,2E 30 30 09 59 20 20 20
0,,189,0:16.987.982,106.791 us,8 B,,07,01,IN txn,20 20 20 30 2E 30 30 09
0,,193,0:16.995.983,106.791 us,8 B,,07,01,IN txn,5A 20 20 20 20 20 2D 30
0,,197,0:17.003.984,106.833 us,8 B,,07,01,IN txn,2E 30 30 0D 3C 30 30 3E
0,,201,0:00.000.000,,,,,,Capture stopped,[01/30/13 13:57:40]
