"MessageNumber","DiagnosisTypes","Timestamp","TimeElapsed","Module","Summary","UsbDevice","TransferData"
"7119","Validation","2017-08-02T01:47:50.2253300","1.7984997","UsbSpec","Interrupt In Transfer - Canceled","2 ","",
"7116","None","2017-08-02T01:47:50.0173897","0.0007929","UsbSpec","Control Out Transfer","2 ","04,00,76,00,00,00,00,00",
"7115","Validation","2017-08-02T01:47:50.0173213","2.0065050","UsbSpec","Interrupt In Transfer - Canceled","2 ","",
"7112","None","2017-08-02T01:47:49.9099682","0.0004852","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"7111","Validation","2017-08-02T01:47:47.9053455","2.3199580","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,53,9E,00,00",
"7108","None","2017-08-02T01:47:47.6975529","0.0006547","UsbSpec","Control Out Transfer","2 ","04,00,DA,00,00,00,00,00",
"7107","Validation","2017-08-02T01:47:47.6974316","2.3198490","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,00,3B,00,00",
"7104","Validation","2017-08-02T01:47:47.5901881","0.0005656","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"7103","None","2017-08-02T01:47:45.5610177","2.3443101","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,3A,18,00,00",
"7100","None","2017-08-02T01:47:45.3529633","0.0004648","UsbSpec","Control Out Transfer","2 ","04,01,9A,00,00,00,00,00",
"7099","Validation","2017-08-02T01:47:45.3528731","2.3445419","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,00,6D,00,00",
"7096","None","2017-08-02T01:47:45.2438432","0.0004617","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"7095","None","2017-08-02T01:47:43.2413345","2.3196496","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,46,99,00,00",
"7092","None","2017-08-02T01:47:43.0329162","0.0004663","UsbSpec","Control Out Transfer","2 ","04,02,EC,00,00,00,00,00",
"7091","None","2017-08-02T01:47:43.0328282","2.3200026","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,00,CD,00,00",
"7088","None","2017-08-02T01:47:42.9271686","0.0004746","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"7087","Validation","2017-08-02T01:47:40.9053319","2.3359709","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,3F,BE,00,00",
"7084","None","2017-08-02T01:47:40.6969767","0.0006679","UsbSpec","Control Out Transfer","2 ","04,04,88,00,00,00,00,00",
"7083","None","2017-08-02T01:47:40.6969087","2.3359029","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,01,76,00,00",
"7080","None","2017-08-02T01:47:40.5937649","0.0007027","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"7079","None","2017-08-02T01:47:38.5694166","2.3358836","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,3F,B5,00,00",
"7076","None","2017-08-02T01:47:38.3614412","0.0006071","UsbSpec","Control Out Transfer","2 ","04,06,C0,00,00,00,00,00",
"7075","None","2017-08-02T01:47:38.3613770","2.3354928","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,02,44,00,00",
"7072","None","2017-08-02T01:47:38.2523652","0.0005312","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"7071","Validation","2017-08-02T01:47:36.2414308","2.3279699","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,3E,12,00,00",
"7068","None","2017-08-02T01:47:36.0334584","0.0009591","UsbSpec","Control Out Transfer","2 ","04,09,C0,00,00,00,00,00",
"7067","None","2017-08-02T01:47:36.0333874","2.3279344","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,03,60,00,00",
"7064","None","2017-08-02T01:47:35.9281038","0.0007650","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"7063","Validation","2017-08-02T01:47:33.8413395","2.4000758","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,43,93,00,00",
"7060","None","2017-08-02T01:47:33.6329333","0.0005055","UsbSpec","Control Out Transfer","2 ","04,00,8E,00,00,00,00,00",
"7059","None","2017-08-02T01:47:33.6328861","2.4004828","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,04,E0,00,00",
"7056","None","2017-08-02T01:47:33.5255609","0.0005951","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"7055","None","2017-08-02T01:47:31.5052961","2.3360037","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,4E,1C,00,00",
"7052","None","2017-08-02T01:47:31.2971482","0.0006135","UsbSpec","Control Out Transfer","2 ","04,01,3E,00,00,00,00,00",
"7051","None","2017-08-02T01:47:31.2970413","2.3358195","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,00,47,00,00",
"7048","None","2017-08-02T01:47:31.1914712","0.0008601","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"7047","None","2017-08-02T01:47:29.1773243","2.3279292","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,49,EB,00,00",
"7044","None","2017-08-02T01:47:28.9690680","0.0007619","UsbSpec","Control Out Transfer","2 ","04,02,88,00,00,00,00,00",
"7043","None","2017-08-02T01:47:28.9689993","2.3280016","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,00,9F,00,00",
