"MessageNumber","DiagnosisTypes","Timestamp","TimeElapsed","Module","Summary","UsbDevice","TransferData"
"5045","Validation","2017-08-01T09:26:15.5417503","1.8064515","UsbSpec","Interrupt In Transfer - Canceled","2 ","",
"5042","None","2017-08-01T09:26:15.3335740","0.0004542","UsbSpec","Control Out Transfer","2 ","04,00,70,00,00,00,00,00",
"5041","Validation","2017-08-01T09:26:15.3334709","2.0147196","UsbSpec","Interrupt In Transfer - Canceled","2 ","",
"5038","Validation","2017-08-01T09:26:15.2307707","0.0006850","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"5037","Validation","2017-08-01T09:26:13.1978358","2.3438824","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,37,12,00,00",
"5034","None","2017-08-01T09:26:12.9900043","0.0006811","UsbSpec","Control Out Transfer","2 ","04,00,D6,00,00,00,00,00",
"5033","None","2017-08-01T09:26:12.9899325","2.3435040","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,00,38,00,00",
"5030","None","2017-08-01T09:26:12.8841155","0.0007989","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"5029","Validation","2017-08-01T09:26:10.9015684","2.2962357","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,44,F5,00,00",
"5026","None","2017-08-01T09:26:10.6941001","0.0009533","UsbSpec","Control Out Transfer","2 ","04,01,96,00,00,00,00,00",
"5025","None","2017-08-01T09:26:10.6940717","2.2958170","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,00,6B,00,00",
"5022","Validation","2017-08-01T09:26:10.5881905","0.0005546","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"5021","Validation","2017-08-01T09:26:08.5661235","2.3354154","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,40,FC,00,00",
"5018","None","2017-08-01T09:26:08.3576387","0.0004829","UsbSpec","Control Out Transfer","2 ","04,02,F0,00,00,00,00,00",
"5017","None","2017-08-01T09:26:08.3575760","2.3364380","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,00,CB,00,00",
"5014","None","2017-08-01T09:26:08.2507365","0.0006834","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"5013","None","2017-08-01T09:26:06.1979359","2.3681457","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,43,F0,00,00",
"5010","None","2017-08-01T09:26:05.9898521","0.0006766","UsbSpec","Control Out Transfer","2 ","04,04,94,00,00,00,00,00",
"5009","None","2017-08-01T09:26:05.9897660","2.3677730","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,01,78,00,00",
"5006","Validation","2017-08-01T09:26:05.8827565","0.0006786","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"5005","None","2017-08-01T09:26:03.8534313","2.3444736","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,40,54,00,00",
"5002","None","2017-08-01T09:26:03.6457497","0.0006751","UsbSpec","Control Out Transfer","2 ","04,06,D8,00,00,00,00,00",
"5001","None","2017-08-01T09:26:03.6456832","2.3440220","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,02,4A,00,00",
"4998","Validation","2017-08-01T09:26:03.5430997","0.0005951","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"4997","None","2017-08-01T09:26:01.5416551","2.3117619","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,40,E0,00,00",
"4994","None","2017-08-01T09:26:01.3339040","0.0007914","UsbSpec","Control Out Transfer","2 ","04,09,DA,00,00,00,00,00",
"4993","None","2017-08-01T09:26:01.3338368","2.3118094","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,03,6C,00,00",
"4990","None","2017-08-01T09:26:01.2257912","0.0005158","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"4989","None","2017-08-01T09:25:59.2134779","2.3281455","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,40,E0,00,00",
"4986","None","2017-08-01T09:25:59.0056154","0.0004833","UsbSpec","Control Out Transfer","2 ","04,00,86,00,00,00,00,00",
"4985","Validation","2017-08-01T09:25:59.0055285","2.3282614","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,04,ED,00,00",
"4982","None","2017-08-01T09:25:58.8984968","0.0005014","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"4981","None","2017-08-01T09:25:56.8537379","2.3597019","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,2D,A0,00,00",
"4978","None","2017-08-01T09:25:56.6457002","0.0006053","UsbSpec","Control Out Transfer","2 ","04,01,32,00,00,00,00,00",
"4977","Validation","2017-08-01T09:25:56.6456288","2.3598812","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,00,43,00,00",
"4974","None","2017-08-01T09:25:56.5402762","0.0005950","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"4973","Validation","2017-08-01T09:25:54.5334718","2.3202355","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,44,0C,00,00",
"4970","None","2017-08-01T09:25:54.3255821","0.0006981","UsbSpec","Control Out Transfer","2 ","04,02,74,00,00,00,00,00",
"4969","None","2017-08-01T09:25:54.3255481","2.3200426","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,00,99,00,00",
"4966","None","2017-08-01T09:25:54.2169539","0.0005558","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"4965","None","2017-08-01T09:25:52.1898874","2.3435685","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,3A,A4,00,00",
"4962","None","2017-08-01T09:25:51.9818519","0.0005200","UsbSpec","Control Out Transfer","2 ","04,04,B6,00,00,00,00,00",
"4961","Validation","2017-08-01T09:25:51.9817621","2.3437498","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,01,3A,00,00",
"4958","Validation","2017-08-01T09:25:51.8779514","0.0007730","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"4957","None","2017-08-01T09:25:49.8216258","2.3682465","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,3F,DA,00,00",
"4954","None","2017-08-01T09:25:49.6136205","0.0006820","UsbSpec","Control Out Transfer","2 ","04,07,74,00,00,00,00,00",
"4953","None","2017-08-01T09:25:49.6135454","2.3681970","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,02,5B,00,00",
"4950","None","2017-08-01T09:25:49.5096430","0.0004663","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"4949","None","2017-08-01T09:25:47.4854846","2.3361102","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,40,C4,00,00",
"4946","None","2017-08-01T09:25:47.2781247","0.0004991","UsbSpec","Control Out Transfer","2 ","04,0B,32,00,00,00,00,00",
"4945","None","2017-08-01T09:25:47.2780499","2.3354604","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,03,BA,00,00",
"4942","None","2017-08-01T09:25:47.1708026","0.0005773","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"4937","None","2017-08-01T09:25:45.1417730","2.3436939","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,3E,A7,00,00",
"4934","Validation","2017-08-01T09:25:44.9339599","0.0009100","UsbSpec","Control Out Transfer","2 ","04,10,2C,00,00,00,00,00",
"4933","Validation","2017-08-01T09:25:44.9338731","2.3441319","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,05,99,00,00",
"4930","None","2017-08-01T09:25:44.8314527","0.0006529","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"4929","None","2017-08-01T09:25:42.8381283","2.3036039","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,3F,2A,00,00",
"4926","None","2017-08-01T09:25:42.6296375","0.0004966","UsbSpec","Control Out Transfer","2 ","04,00,82,00,00,00,00,00",
"4925","None","2017-08-01T09:25:42.6295764","2.3042789","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,08,16,00,00",
"4922","None","2017-08-01T09:25:42.5208564","0.0005925","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"4921","None","2017-08-01T09:25:40.4458205","2.3922652","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,40,9F,00,00",
"4918","None","2017-08-01T09:25:40.2379274","0.0008209","UsbSpec","Control Out Transfer","2 ","04,01,1E,00,00,00,00,00",
"4917","None","2017-08-01T09:25:40.2378504","2.3916897","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,00,41,00,00",
"4914","None","2017-08-01T09:25:40.1327824","0.0006664","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"4913","None","2017-08-01T09:25:38.1256861","2.3201008","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,46,A2,00,00",
"4910","None","2017-08-01T09:25:37.9178973","0.0008574","UsbSpec","Control Out Transfer","2 ","04,02,44,00,00,00,00,00",
"4909","None","2017-08-01T09:25:37.9178127","2.3199999","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,00,8F,00,00",
"4906","None","2017-08-01T09:25:37.8102953","0.0004917","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"4905","None","2017-08-01T09:25:35.7736284","2.3520260","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,44,56,00,00",
"4902","None","2017-08-01T09:25:35.5657097","0.0007593","UsbSpec","Control Out Transfer","2 ","04,04,52,00,00,00,00,00",
"4901","None","2017-08-01T09:25:35.5656338","2.3521426","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,01,22,00,00",
"4898","None","2017-08-01T09:25:35.4568636","0.0005687","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"4897","None","2017-08-01T09:25:33.4138658","2.3597256","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,3C,6E,00,00",
"4894","None","2017-08-01T09:25:33.2058315","0.0006842","UsbSpec","Control Out Transfer","2 ","04,06,DA,00,00,00,00,00",
"4893","None","2017-08-01T09:25:33.2057594","2.3598374","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,02,29,00,00",
"4890","None","2017-08-01T09:25:33.0976070","0.0008975","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"4889","Validation","2017-08-01T09:25:31.0777915","2.3360434","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,42,FE,00,00",
"4886","None","2017-08-01T09:25:30.8698535","0.0006668","UsbSpec","Control Out Transfer","2 ","04,0A,52,00,00,00,00,00",
"4885","None","2017-08-01T09:25:30.8697904","2.3359308","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,03,6D,00,00",
"4882","None","2017-08-01T09:25:30.7615330","0.0005449","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"4881","None","2017-08-01T09:25:28.7578977","2.3198621","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,40,F3,00,00",
"4878","None","2017-08-01T09:25:28.5499234","0.0007993","UsbSpec","Control Out Transfer","2 ","04,0E,EE,00,00,00,00,00",
"4877","None","2017-08-01T09:25:28.5498675","2.3198859","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,05,29,00,00",
"4874","Validation","2017-08-01T09:25:28.4455615","0.0006853","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"4873","None","2017-08-01T09:25:26.4058989","2.3519625","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,3F,B6,00,00",
"4870","None","2017-08-01T09:25:26.1975073","0.0005128","UsbSpec","Control Out Transfer","2 ","04,0D,AE,00,00,00,00,00",
"4869","None","2017-08-01T09:25:26.1974590","2.3523621","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,07,77,00,00",
"4866","None","2017-08-01T09:25:26.0961404","0.0008756","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"4865","None","2017-08-01T09:25:24.0454853","2.3603822","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,43,9C,00,00",
"4862","None","2017-08-01T09:25:23.8378765","0.0007801","UsbSpec","Control Out Transfer","2 ","04,16,38,00,00,00,00,00",
"4861","None","2017-08-01T09:25:23.8378508","2.3595882","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,06,D7,00,00",
"4858","None","2017-08-01T09:25:23.7357767","0.0006906","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"4857","None","2017-08-01T09:25:21.7257882","2.3196688","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,40,E9,00,00",
"4854","None","2017-08-01T09:25:21.5180102","0.0007197","UsbSpec","Control Out Transfer","2 ","04,14,6E,00,00,00,00,00",
"4853","None","2017-08-01T09:25:21.5179468","2.3198836","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,0B,1C,00,00",
"4850","None","2017-08-01T09:25:21.4105299","0.0004739","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"4849","Validation","2017-08-01T09:25:19.3899517","2.3357980","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,40,4A,00,00",
"4846","None","2017-08-01T09:25:19.1818411","0.0005993","UsbSpec","Control Out Transfer","2 ","04,00,50,00,00,00,00,00",
"4845","None","2017-08-01T09:25:19.1817668","2.3361426","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,0A,37,00,00",
"4842","None","2017-08-01T09:25:19.0780660","0.0008616","UsbSpec","Control Out Transfer","2 ","53,00,62,00,00,00,00,00",
"4836","None","2017-08-01T09:25:13.9739865","5.4159346","UsbSpec","Interrupt In Transfer","2 ","00,04,00,0C,41,18,00,00",
"4833","None","2017-08-01T09:25:13.9657077","0.0006812","UsbSpec","Control Out Transfer","2 ","08,00,14,00,00,00,00,00",
"4832","None","2017-08-01T09:25:13.9656405","5.2160821","UsbSpec","Interrupt In Transfer","2 ","00,53,00,00,00,28,00,00",
"4829","None","2017-08-01T09:25:13.9579499","0.0005671","UsbSpec","Control Out Transfer","2 ","08,00,10,00,00,00,00,00",
"4828","None","2017-08-01T09:25:13.9579114","0.0159974","UsbSpec","Interrupt In Transfer","2 ","00,08,00,14,00,00,00,00",
"4825","None","2017-08-01T09:25:13.9500358","0.0006906","UsbSpec","Control Out Transfer","2 ","08,00,0C,00,00,00,00,00",
"4824","None","2017-08-01T09:25:13.9499577","0.0156518","UsbSpec","Interrupt In Transfer","2 ","00,08,00,10,98,EF,14,03",
"4821","None","2017-08-01T09:25:13.9417351","0.0006366","UsbSpec","Control Out Transfer","2 ","08,00,08,00,00,00,00,00",
"4820","None","2017-08-01T09:25:13.9416543","0.0161827","UsbSpec","Interrupt In Transfer","2 ","00,08,00,0C,00,00,00,00",
"4817","None","2017-08-01T09:25:13.9341687","0.0009198","UsbSpec","Control Out Transfer","2 ","08,00,04,00,00,00,00,00",
"4816","Validation","2017-08-01T09:25:13.9335015","0.0164248","UsbSpec","Interrupt In Transfer","2 ","00,08,00,08,33,39,00,00",
"4813","None","2017-08-01T09:25:13.9257853","0.0006593","UsbSpec","Control Out Transfer","2 ","08,03,D4,00,C3,00,00,00",
"4812","Validation","2017-08-01T09:25:13.9256992","0.0159241","UsbSpec","Interrupt In Transfer","2 ","00,08,00,04,36,33,38,30",
"4809","None","2017-08-01T09:25:13.9175944","0.0006631","UsbSpec","Control Out Transfer","2 ","08,03,D0,00,C3,00,00,00",
"4808","Validation","2017-08-01T09:25:13.9175382","0.0159241","UsbSpec","Interrupt In Transfer","2 ","00,08,03,D4,30,30,30,30",
