# Total Phase Data Center(tm) v6.61
# (c) 2005-2013 Total Phase, Inc.
# www.totalphase.com
#
# Thu Jun 04 17:47:52 2015
#
# Level,Index,Dur,Len,Ep,Record,Summary
0,0,,,,Capture started (Aggregate),[Thu 04 Jun 2015 14:04:35 BST]
0,1,,,,<Unreset> / <Target connected>,
0,2,1.999.233.854 s,,,[2000 SOF],[Frames: 1600 - 1551] [Periodic Timeout]
0,8,1.999.233.916 s,,,[2000 SOF],[Frames: 1552 - 1503] [Periodic Timeout]
0,14,1.999.233.875 s,,,[2000 SOF],[Frames: 1504 - 1455] [Periodic Timeout]
0,20,1.999.233.895 s,,,[2000 SOF],[Frames: 1456 - 1407] [Periodic Timeout]
0,25,1.999.233.750 s,,,[2000 SOF],[Frames: 1408 - 1359] [Periodic Timeout]
0,31,1.999.233.791 s,,,[2000 SOF],[Frames: 1360 - 1311] [Periodic Timeout]
0,37,1.999.233.729 s,,,[2000 SOF],[Frames: 1312 - 1263] [Periodic Timeout]
0,42,1.655.193.979 s,,,[1656 SOF],[Frames: 1264 - 871] 
0,43,50.770 us,64 B,01,OUT txn,C1 C0 00 00 00 00 00 00 81 02 11 00 00 00 00 00 00 00 00 00 00 00 00 00…
1,44,2.833 us,3 B,01,   OUT packet,E1 98 30
1,45,45.500 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 00 00 00 00 81 02 11 00 00 00 00 00 00 00 00 00 00 00 00…
1,46,1.479 us,1 B,01,   ACK packet,D2
0,47,51.000 us,64 B,01,IN txn,C1 C0 00 00 21 00 00 00 81 02 11 00 00 00 00 00 00 00 00 00 00 00 00 01…
1,48,2.833 us,3 B,01,   IN packet,69 98 30
1,49,45.583 us,67 B,01,   DATA0 packet,C3 C1 C0 00 00 21 00 00 00 81 02 11 00 00 00 00 00 00 00 00 00 00 00 00…
1,50,1.500 us,1 B,01,   ACK packet,D2
0,51,2.833 us,,,[1 SOF],[Frame: 872] 
